"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x950439717606232064",2018-01-08 18:51:01,"x3492885705","OllieWeir14","Did you miss yesterday’s vlog? I went behind the scenes at the Etihad Stadium!🎥✅ #mancity #SharkTeam #FA #FACup #YouTube #smallyoutuber #BurnleyFC #ManchesterCity #cityvburnley #EmiratesFACup 
https://t.co/5YrdwPkgCY","Twitter for iPhone",,,,FALSE,FALSE,1,1,"mancity SharkTeam FA FACup YouTube smallyoutuber BurnleyFC ManchesterCity cityvburnley EmiratesFACup",,"youtu.be/OaUqCbZbdTk","https://t.co/5YrdwPkgCY","https://youtu.be/OaUqCbZbdTk",,,,,,,,,,,"en",,,,,,,,,,,,,
"x950328185568288768",2018-01-08 11:27:50,"x2776771478","0551995592","👌 @Azinchenko17 reflects on a brilliant #FACup win! 

WATCH 🎥 https://t.co/u1Fje4Lb2o #cityvburnley https://t.co/yP2a7pfn7j","Twitter for iPhone",,,,FALSE,FALSE,0,0,"FACup cityvburnley",,"manc.it/2CM87eY","https://t.co/u1Fje4Lb2o","http://manc.it/2CM87eY","http://pbs.twimg.com/media/DTA-cSZX4AAEvIi.jpg","https://t.co/yP2a7pfn7j","https://twitter.com/0551995592/status/950328185568288768/photo/1","photo","http://pbs.twimg.com/media/DTA-cSZX4AAEvIi.jpg","https://t.co/yP2a7pfn7j","https://twitter.com/0551995592/status/950328185568288768/photo/1",,"x756146407996788740","Azinchenko17","en",,,,,,,,,,,,,
"x950102241066799105",2018-01-07 20:30:00,"x14573900","ManCity","👌 @Azinchenko17 reflects on a brilliant #FACup win! 

WATCH 🎥 https://t.co/KEB4tiZv9R #cityvburnley https://t.co/2OWsYjSiip","TweetDeck",,,,FALSE,FALSE,875,73,"FACup cityvburnley",,"manc.it/2CM87eY","https://t.co/KEB4tiZv9R","http://manc.it/2CM87eY","http://pbs.twimg.com/media/DS4glgoW0AQBpaJ.jpg","https://t.co/2OWsYjSiip","https://twitter.com/ManCity/status/950102241066799105/photo/1","photo","http://pbs.twimg.com/media/DS4glgoW0AQBpaJ.jpg","https://t.co/2OWsYjSiip","https://twitter.com/ManCity/status/950102241066799105/photo/1",,"x756146407996788740","Azinchenko17","en",,,,,,,,,,,,,
"x949993392360091648",2018-01-07 13:17:29,"x14573900","ManCity","A behind-the-scenes look at #cityvburnley in the #FACup 

📺➡️ https://t.co/AFXFZKthcR #mancity https://t.co/cPZ5HS3T9d","TweetDeck",,,,FALSE,FALSE,661,66,"cityvburnley FACup mancity",,"manc.it/2CCrrrF","https://t.co/AFXFZKthcR","http://manc.it/2CCrrrF","http://pbs.twimg.com/media/DS8N0V1XcAA7VOe.jpg","https://t.co/cPZ5HS3T9d","https://twitter.com/ManCity/status/949993392360091648/photo/1","photo","http://pbs.twimg.com/media/DS8N0V1XcAA7VOe.jpg","https://t.co/cPZ5HS3T9d","https://twitter.com/ManCity/status/949993392360091648/photo/1",,,,"en",,,,,,,,,,,,,
"x949974661995094018",2018-01-07 12:03:03,"x50463968","cfbcity","53,356
Biggest #FACup crowd of the day on Saturday at the Etihad 
#cityvburnley #mcfc #bfc #mancity https://t.co/Ah3XfFhPaX","Twitter for iPhone",,,,FALSE,FALSE,82,47,"FACup cityvburnley mcfc bfc mancity",,,,,"http://pbs.twimg.com/media/DS785uIXkAEQx5x.jpg","https://t.co/Ah3XfFhPaX","https://twitter.com/cfbcity/status/949974661995094018/photo/1","photo","http://pbs.twimg.com/media/DS785uIXkAEQx5x.jpg","https://t.co/Ah3XfFhPaX","https://twitter.com/cfbcity/status/949974661995094018/photo/1",,,,"en",,,,,,,,,,,,,
"x949974204027424768",2018-01-07 12:01:14,"x14573900","ManCity","Through to the next round of the #FACup! 

#cityvburnley highlights... 

EXTENDED: https://t.co/gYN90SCw9u

SHORT: https://t.co/qWqfAb4cfR #mancity https://t.co/6ysGwzZE2w","TweetDeck",,,,FALSE,FALSE,564,76,"FACup cityvburnley mancity",,"manc.it/2CADINx manc.it/2CBzPaU","https://t.co/gYN90SCw9u https://t.co/qWqfAb4cfR","http://manc.it/2CADINx http://manc.it/2CBzPaU","http://pbs.twimg.com/media/DS78fO0WAAYUes2.jpg","https://t.co/6ysGwzZE2w","https://twitter.com/ManCity/status/949974204027424768/photo/1","photo","http://pbs.twimg.com/media/DS78fO0WAAYUes2.jpg","https://t.co/6ysGwzZE2w","https://twitter.com/ManCity/status/949974204027424768/photo/1",,,,"en",,,,,,,,,,,,,
"x949825909372084225",2018-01-07 02:11:58,"x19775344","pratapdsingh","Yesterday’s 3rd round FA Cup Match vs Burnley was the 1st game this season that I failed to watch live on TV. Super happy that we won again 💙 #cityvburnley #MCFC #FACup https://t.co/qLaYdk3Wyr","Twitter for iPhone",,,,FALSE,FALSE,0,0,"cityvburnley MCFC FACup",,,,,"http://pbs.twimg.com/media/DS51n16U8AEVXfg.jpg","https://t.co/qLaYdk3Wyr","https://twitter.com/pratapdsingh/status/949825909372084225/photo/1","photo","http://pbs.twimg.com/media/DS51n16U8AEVXfg.jpg","https://t.co/qLaYdk3Wyr","https://twitter.com/pratapdsingh/status/949825909372084225/photo/1",,,,"en",,,,,,,,,,,,,
"x949796020808048641",2018-01-07 00:13:12,"x942412202673352704","FoOtBaLl607","#Manchester City vs #BurnleyFC 4-1 Full Highlights and Goals 06/01/18 #MCFC #MCIBUR #cityvburnley #city #Angleterre #FACup
https://t.co/gv1li1Jq22","Twitter for iPhone",,,,FALSE,FALSE,0,0,"Manchester BurnleyFC MCFC MCIBUR cityvburnley city Angleterre FACup",,"youtu.be/o3es2aemzVk","https://t.co/gv1li1Jq22","https://youtu.be/o3es2aemzVk",,,,,,,,,,,"en",,,,,,,,,,,,,
"x949755277389086720",2018-01-06 21:31:18,"x238473352","ABboyblues","Good job City’s 2nd half wasn’t played down under in Sydney today as we have a total fire ban in place....⚽️🔥@ManCity #cityvburnley #FACup @BBCMOTD","Twitter for iPhone",,,,FALSE,FALSE,2,0,"cityvburnley FACup",,,,,,,,,,,,,"x14573900 384951307","ManCity BBCMOTD","en",,,,,"https://api.twitter.com/1.1/geo/id/00f5fcca24e69fe7.json","Central Coast","Central Coast, New South Wales","city","Australia","AU",,,"151.283033728 151.601962752 151.601962752 151.283033728 -33.550008009 -33.550008009 -33.1432859715 -33.1432859715"
"x949734163090898945",2018-01-06 20:07:24,"x50463968","cfbcity","First-half: City 0 Burnley 1
Second-half: City 4 Burnley 1 
#mcfc #cityvburnley #mancity #Pep #FACup https://t.co/STfgd4GsHD","Twitter for iPhone",,,,FALSE,FALSE,10,5,"mcfc cityvburnley mancity Pep FACup",,,,,"http://pbs.twimg.com/tweet_video_thumb/DS4iKj2XkAAeaP_.jpg","https://t.co/STfgd4GsHD","https://twitter.com/cfbcity/status/949734163090898945/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/DS4iKj2XkAAeaP_.jpg","https://t.co/STfgd4GsHD","https://twitter.com/cfbcity/status/949734163090898945/photo/1",,,,"en",,,,,,,,,,,,,
