"";"text";"created_at";"screen_name";"status_id";"favorite_count";"retweet_count";"hashtags";"is_retweet";"is_quote"
"1";"2nd Set stats for Simonas set win against Davis.

 ";"2018-01-20 01:43:40";"WTARomania";"954529830548197378";0;0;"AusOpen";FALSE;FALSE
"2";"Zverev -145 is a pretty good play. Opening line of -200 was a much more fair price. ";"2018-01-20 01:43:38";"Freedom_Funds";"954529822138658816";0;0;"AusOpen";FALSE;FALSE
"3";"LAUREN DAVIS served out to win first game 3rd set while CHANNEL 7 took eye off the ball with commercials. 

1 set all with world number 1 HALEP and DAVIS on serve 1-0 in deciding set.  
 ";"2018-01-20 01:43:33";"TazSpinZone";"954529799531200513";0;0;"AusOpen";FALSE;FALSE
"4";"Interesting that @TennisAustralia has a problem with @xkyrgios sportsbet shirt but today is ""Coopers Saturday""... #ausopen";"2018-01-20 01:43:32";"Super_Couch";"954529797111128064";0;0;"ausopen";FALSE;FALSE
"5";".@WitthoeftCarina and @BarthelMona lose 1-6 5-7. ";"2018-01-20 01:43:30";"Witthoeft_Fans";"954529788940705794";0;0;"AusOpen";FALSE;FALSE
"6";"Getting to know the locals - a series.   tennis  @ Australian Open ";"2018-01-20 01:43:26";"zanrowe";"954529772285190144";0;0;"AusOpen";FALSE;FALSE
"7";"Safarova vs Pliskova, two of my favorites. all 4 meetings on hard court went to Pliskova #ausopen";"2018-01-20 01:43:20";"CanGuyInAusLand";"954529745689088002";0;0;"ausopen";FALSE;FALSE
"8";"@Simona_Halep levels the match with the 2nd set @LaurenDavis93 match poised at 4-6 6-4 0-1 in the Third on serve @AustralianOpen  #AustralianOpen #7Tennis #WTA";"2018-01-20 01:43:05";"WtaTour2";"954529685341270017";0;0;"AusOpen AustralianOpen 7Tennis WTA";FALSE;FALSE
"9";"Men's Singles 3rd Round
 Serbia
 N. #Djokovic
 (14)
 Spain
A. Ramos-Vitolas
 
@DjokerNole  flexed biceps  flexed biceps  flexed biceps  flexed biceps #Djokovic #NoleFam #Idemo #BringTheLove #Ajde ";"2018-01-20 01:42:52";"GusoOddo";"954529628458283008";1;0;"Djokovic AusOpen Djokovic NoleFam Idemo BringTheLove Ajde";FALSE;FALSE
"10";"Simona Halep takes the 2nd set 6-4 ";"2018-01-20 01:42:47";"SportsBoyShawon";"954529608069779456";0;0;"AusOpen";FALSE;FALSE
"11";"Simona Halep wins the second set 6-4 setting up a decider against Lauren Davis which i hope will be just as good because it has been a really good match so far. ";"2018-01-20 01:42:33";"LeeFergusson";"954529551245340672";0;0;"AusOpen";FALSE;FALSE
"12";"Dedicated to all #NoleFam around the world but especially those who are in  bearing the heat  see-no-evil monkey  !!! @DjokerNole  grinning face  !!! #Idemo  flexed biceps  #Ajde  oncoming fist  #BringTheLove  red heart  red heart  red heart  ";"2018-01-20 01:42:17";"vbarrientosc";"954529480168607744";0;0;"NoleFam AusOpen Idemo Ajde BringTheLove";FALSE;FALSE
"13";"Elsewhere at the ...

We have an all- Czechia  clash coming up on Margaret Court Arena as @luciesafarova takes on @KaPliskova for a place in the last 16. ";"2018-01-20 01:42:12";"FSAsiaLive";"954529460019064832";1;1;"AusOpen";FALSE;FALSE
"14";"Madison Keys flying quietly into round four - just the way she likes it.

She made her first Grand Slam final under the radar. The conditions and her form seem in favour of her making another deep run at the .";"2018-01-20 01:42:02";"abigailtennis";"954529418881495041";1;0;"AusOpen";FALSE;FALSE
"15";"Splitting sets like...

 ";"2018-01-20 01:41:57";"AustralianOpen";"954529398673195008";11;5;"AusOpen";FALSE;FALSE
"16";"Czech out who has just made their way onto MCA  Czechia 

Safarova v Pliskova - who's your tip?

 ";"2018-01-20 01:41:49";"AustralianOpen";"954529364296650752";15;2;"AusOpen";FALSE;FALSE
